qid,Len,P1
,"A",Q18
,"B.1",Q18
,"B.1.1",Q18
,"B.1.2",Q18
,"B.1.3",Q18
,"B.1.4",Q18
,"B.1.5",Q18
,"B.1.6",Q18
,"B.1.7",Q18
,"B.2",Q18
,"A",Q18
,"B.2.1",Q18
,"B.2.2",Q18
,"B.2.3",Q18
,"B.2.4",Q18
,"B.2.5",Q18
,"B.3",Q18
,"B.3.1",Q18
,"B.3.2",Q18
,"B.3.3",Q18
,"AR5",Q18
,"B.4",Q18
,"B.4.1",Q18
,"B.4.2",Q18
,"B.4.3",Q18
,"B.4.4",Q18
,"B.4.5",Q18
,"B.4.6",Q18
,"B.4.7",Q18
,"B.5",Q18
,"B.5.1",Q18
,"B.5.2",Q18
,"B.5.3",Q18
,"B.5.4",Q18
,"B.5.5",Q18
,"B.6",Q18
,"B.6.1",Q18
,"B.6.2",Q18
,"C.1",Q18
,"C.1.1",Q18
,"C.1.2",Q18
,"C.2",Q18
,"C.2.1",Q18
,"C.2.2",Q18
,"C.2.3",Q18
,"C.2.4",Q18
,"C.2.5",Q18
,"C.2.6",Q18
,"C.2.7",Q18
,"C.2.8",Q18
,"C.2.9",Q18
,"C.3",Q18
,"C.3.1",Q18
,"C.3.2",Q18
,"C.3.3",Q18
,"C.3.4",Q18
,"C.3.5",Q18
,"C.4",Q18
,"C.4.1",Q18
,"C.4.2",Q18
,"C.4.3",Q18
,"C.4.4",Q18
,"C.5",Q18
,"C.5.1",Q18
,"C.5.2",Q18
,"C.5.3",Q18
,"C.5.4",Q18
,"C.5.5",Q18
,"C.5.6",Q18
,"D.1",Q18
,"D.1.1",Q18
,"D.1.2",Q18
,"D.1.3",Q18
,"D.2",Q18
,"D.2.1",Q18
,"D.2.2",Q18
,"D.2.3",Q18
,"D.3",Q18
,"D.3.1",Q18
,"D.3.2",Q18
,"D.3.3",Q18
,"D.4",Q18
,"D.4.1",Q18
,"D.4.2",Q18
,"D.4.3",Q18
,"D.5",Q18
,"D.5.1",Q18
,"D.5.2",Q18
,"D.5.3",Q18
