keyword/phrase,score,POS
urbanism,0.42086124705225075,NOUN
city,0.25345934045286733,NOUN
emission,0.19362098819675733,NOUN
increase,0.11770206781860083,NOUN
infrastructural,0.11273003245949284,ADJ
globalization,0.10428849156415058,NOUN
climatic,0.10222105106764269,ADJ
policy,0.1017917030436815,NOUN
base,0.09441151649335824,NOUN
area,0.09286822534838568,NOUN
sectoral,0.08835749974091013,ADJ
systemic,0.08356892635573462,ADJ
region,0.08333725046941093,NOUN
land,0.08090766740355508,NOUN
locally,0.08032250374128053,ADV
governance,0.07997721385007192,NOUN
scenario,0.07514060394100008,NOUN
section,0.07273907471051369,NOUN
low,0.07226429560148241,ADJ
transport,0.06998357208968686,NOUN
differently,0.06938061568238856,ADV
action,0.06810299270034381,NOUN
plan,0.06790393034599834,NOUN
figuration,0.0677358728111459,NOUN
strategy,0.06759936328449148,NOUN
chang,0.06640029038377701,PROPN
scale,0.06576598092252216,NOUN
impact,0.06484335912653406,NOUN
multiplicative,0.06454359063133734,ADJ
integrated,0.06301730574359937,ADJ
level,0.0621325350633676,NOUN
effectiveness,0.060349019315792014,NOUN
wgiii,0.05977540401910251,NOUN
source,0.05914564004633567,NOUN
technology,0.05849340058958491,NOUN
material,0.05758804731854717,NOUN
electric,0.05747112183861606,ADJ
resource,0.057429023105068845,NOUN
supportive,0.056920877444978,ADJ
density,0.05511508299458975,NOUN
potentially,0.054850533071783905,ADV
design,0.054844916750883904,NOUN
estimation,0.052878295751405555,NOUN
growth,0.05208877165947886,NOUN
requirement,0.05121537263522492,NOUN
implementation,0.05099850719375545,NOUN
approach,0.050979835786825356,NOUN
green,0.05079261482026237,ADJ
demand,0.05010681814504305,NOUN
enabler,0.050023063230409545,NOUN
water,0.04969502747424841,NOUN
manageable,0.049549058175250404,ADJ
option,0.049404818379401645,NOUN
institutional,0.04807177260650588,ADJ
largely,0.04794755868812211,ADV
nation,0.04754759836781088,NOUN
structural,0.04702989233982612,ADJ
improvement,0.04674750387016209,NOUN
chapter,0.046667157221688224,NOUN
forest,0.04664883363535108,NOUN
america,0.045893240015311906,NOUN
tree,0.044858437857792435,NOUN
form,0.04436246159278368,NOUN
measure,0.04431718546943919,NOUN
new,0.04395650926070919,ADJ
year,0.04364326146145659,NOUN
sustainably,0.04263554834845084,ADV
key,0.0423265837536354,ADJ
cost,0.0422770883001033,NOUN
involvement,0.041448177660767825,NOUN
powered,0.041053738486988595,ADJ
behavioural,0.040806727620597553,ADJ
networking,0.040598018274536546,NOUN
transition,0.0402769464752098,NOUN
spatially,0.04007890228700796,ADV
electrification,0.03974987360160216,NOUN
