Raw text,Extracted text
Public energy RD&D investments for IEA countries,Public energy RDAD investments for IEA countries
Unallocated,Unllocated
Other,Other
cross-,Cos-
cutting,cutting
technologies/research,tcchnologics / research
Other,Other
power and,DOTc inC
storage,storec 
technologies,technologics
Hydrogen and fuel cells,Hydrogcn and fucl cells
Nuclear,Vudear
Renewables,Rencwables
Fossil fuels,Fossil fucls
Scenarios,Scenarios
Reference and current policies,Relejunce and Gurrenpolicies
2C and 1.5C,2C and
Source,Source
EIA,
IEA,
IRENA,IRENA
Lazard,Lazaic
NREL,NacL
Einstein,Einstein
Bell Labs,Bell Labs
Project Independence,Project Independence
Project Sunshine,Project Sunshine
ISO #4,IISO 04
Rooftop Program,Rooftop Program
EEG,
Suntech,Suntedh
FiT,
